,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
382,obrigado tudo voce fez mim,preciso ir agora obrigado ajuda,estou desanim,estou com dificuldad par prossegu precis de ajud,boa tarde qual e a questao
383,muit obrig por tud que voc fez por mim,preciso ir agora ma obrigado pela ajuda,desanim,dificuldad prossegu precis ajud,boa tarde questao
384,obrig tud voc fez mim,precis ir agor mas obrig pel ajud,nao consigo acreditar,dificuldad par prossegu precis ajud,boa tard qual e a questa
385,muit obrig tud voc fez mim,preciso ir agora ma obrigado ajuda,nao consig acredit,estou com dificuldad par prossegu prec de ajud,boa tard questa
386,obrigado por sua paciencia,precis ir agor ma obrig pel ajud,perdi a confiança,dificuldad par prossegu prec ajud,boa tard qual e a quest
387,obrig por sua pacienc,precis ir agor obrig ajud,perdi confiança,dificuldad prossegu prec ajud,boa tard quest
388,agradeço seu suporte continuo,precis ir agor ma obrig ajud,perd a confianc,nao sei o que fazer pode me auxiliar,boa tarde pode me ajudar com um problema
389,agradeço suporte continuo,precis ir agor obrig pel ajud,perd confianc,nao sei fazer pode auxiliar,boa tarde pode ajudar problema
390,agradec seu suport continu,prec ir agor mas obrig pel ajud,nao merecem minha fidelidade,nao sei o que faz pod me auxili,boa tard pod me ajud com um problem
391,agradec suport continu,prec ir agor ma obrig pel ajud,nao merecem fidelidade,nao sei faz pod auxili,boa tard pod ajud problem
392,obrigado por ser tao prestativo e atencioso,prec ir agor obrig pel ajud,nao merec minh fidel,nao sei o que faz pod me auxil,boa tard pod me ajud com um probl
393,obrigado tao prestativo atencioso,prec ir agor obrig ajud,nao merec fidel,nao sei faz pod auxil,boa tard pod ajud probl
394,obrig por ser tao prestat e atenc,prec ir agor ma obrig ajud,nao volto mais,estou com dificuldades para tomar uma decisao preciso de orientaçoes,boa noite qual e a demanda
395,obrig tao prestat atenc,encerrar o atendimento obrigado,nao volto,dificuldades tomar decisao preciso orientaçoes,boa noite demanda
396,agradeço por fazer um otimo trabalho,encerrar atendimento obrigado,nao volt mais,estou com dificuldad par tom uma decisa precis de orientaço,boa noit qual e a demand
397,agradeço fazer otimo trabalho,encerr o atend obrig,nao volt,dificuldad tom decisa precis orientaço,boa noit demand
398,agradec por faz um otim trabalh,encerr atend obrig,fiquei muito irritado,dificuldad par tom decisa precis orientaço,boa tarde posso ajudar em algo
399,agradec faz otim trabalh,encerrar conversa obrigado,fiquei irritado,estou com dificuldad par tom uma decis prec de orientac,boa tarde posso ajudar algo
400,obrigado por tornar as coisas mais faceis para mim,ja tenho a informaçao necessaria encerrando a conversa,fiqu muit irrit,dificuldad par tom decis prec orientac,boa tard poss ajud em algo
401,obrigado tornar coisas faceis mim,ja informaçao necessaria encerrando conversa,fiqu irrit,dificuldad tom decis prec orientac,boa tard poss ajud algo
402,obrigado por tornar a coisas mais faceis para mim,ja tenh a informaça necess encerr a convers,isso e inaceitavel,estou com dificuldad par tom uma dec prec de orientac,boa tard po ajud em algo
403,obrig por torn as cois mais fac par mim,ja informaça necess encerr convers,nao consigo entender essa falta de cuidado,dificuldad par tom dec prec orientac,boa tard po ajud algo
404,obrig por torn a cois mais fac par mim,ja tenh informaça necess encerr convers,nao consigo entender falta cuidado,dificuldad tom dec prec orientac,boa tarde tenho uma duvida sobre a calibragem de equipamentos pode me orientar
405,obrig torn cois fac mim,ja tenh a informac necess encerr a convers,nao consig entend essa falt de cuid,estou com um obstaculo no caminho e preciso supera lo pode me guiar,boa tarde duvida sobre calibragem equipamentos pode orientar
406,obrig torn cois fac par mim,ja tenh informac necess encerr convers,nao consig entend falt cuid,obstaculo caminho preciso supera lo pode guiar,boa tard tenh uma duv sobr a calibrag de equip pod me orient
407,agradeço por ser um profissional excepcional,ja informac necess encerr convers,estou profundamente desapontado,estou com um obstacul no caminh e precis sup lo pod me gui,boa tard duv sobr calibrag equip pod orient
408,agradeço profissional excepcional,agradeço pela ajuda finalizar conversa,profundamente desapontado,obstacul caminh precis sup lo pod gui,boa tard tenh duv sobr calibrag equip pod orient
409,agradec por ser um profissional excepcional,agradeço ajuda finalizar conversa,estou profund desapont,estou com um obstacul no caminh e prec sup lo pod me gui,oi amigao
410,agradec profissional excepcional,agradec pel ajud finaliz convers,profund desapont,obstacul caminh prec sup lo pod gui,oi amiga
411,obrigado por estar sempre disposto a ajudar,agradec ajud finaliz convers,que descaso,estou com uma dificuldade enorme e nao sei como resolver voce tem alguma ideia,oi amig
412,obrigado sempre disposto ajudar,excelente atendimento obrigado a,descaso,dificuldade enorme nao sei resolver voce alguma ideia,oi time
413,obrig por estar sempr dispost a ajud,excelente atendimento obrigado,que descas,estou com uma dificuldad enorm e nao sei com resolv voc tem algum ide,oi tim
414,obrig sempr dispost ajud,excelent atend obrig a,descas,dificuldad enorm nao sei resolv voc algum ide,boa tarde em que posso ser util
415,agradeço pela sua gentileza,excelent atend obrig,que desc,nao consigo lidar com isso sozinho preciso de ajuda,boa tard em que poss ser util
416,agradeço gentileza,foi um prazer conversar contigo ate a proxima,desc,nao consigo lidar sozinho preciso ajuda,boa tard em que po ser util
417,agradec pel sua gentil,prazer conversar contigo ate proxima,uma verdadeira bagunça,nao consig lid com isso sozinh precis de ajud,oi prazer em conhece lo
418,agradec gentil,foi um praz convers contig ate a proxim,verdadeira bagunça,nao consig lid sozinh precis ajud,oi prazer conhece lo
419,agradec pel gentil,praz convers contig ate proxim,uma verdadeir bagunc,nao consig lid com isso sozinh prec de ajud,oi praz em conhec lo
420,obrigado por sua dedicaçao e comprometimento,preciso me concentrar agora encerrar,verdadeir bagunc,nao consig lid sozinh prec ajud,oi praz conhec lo
421,obrigado dedicaçao comprometimento,preciso concentrar agora encerrar,uma verdad bagunc,estou com dificuldades para lidar com essa situaçao voce pode me dar um conselho,oi bom te ver por aqui
422,obrig por sua dedicaça e compromet,precis me concentr agor encerr,verdad bagunc,dificuldades lidar situaçao voce pode dar conselho,oi bom ver aqui
423,obrig dedicaça compromet,precis concentr agor encerr,nao merecem minha confiança,estou com dificuldad par lid com essa situaça voc pod me dar um conselh,oi bom te ver por aqu
424,obrig por sua dedicac e compromet,prec me concentr agor encerr,nao merecem confiança,dificuldad lid situaça voc pod dar conselh,oi bom ver aqu
425,obrig dedicac compromet,prec concentr agor encerr,nao merec minh confianc,dificuldad par lid situaça voc pod dar conselh,opa tudo tranquilo
426,agradeço por sempre superar minhas expectativas,foi muito util podemos encerrar agora,nao merec confianc,estou com dificuldad par lid com essa situac voc pod me dar um conselh,opa tud tranquil
427,agradeço sempre superar expectativas,util podemos encerrar agora,pessimo atendimento,dificuldad par lid situac voc pod dar conselh,e ai como vai
428,agradec por sempr super minh expect,foi muit util pod encerr agor,pessim atend,dificuldad lid situac voc pod dar conselh,ai vai
429,agradec sempr super expect,util pod encerr agor,total falta de comprometimento,estou com um problema complicado e nao sei por onde começar voce pode me orientar,e ai com vai
430,agradec sempr super minh expect,muit util pod encerr agor,total falta comprometimento,problema complicado nao sei onde começar voce pode orientar,saudaçoes
431,agradec por sempr sup minh expect,adeus,total falt de compromet,estou com um problem complic e nao sei por onde comec voc pod me orient,saudaço
432,agradec sempr sup minh expect,agradeço pelo suporte vamos encerrar a conversa,total falt compromet,problem complic nao sei onde comec voc pod orient,saudac
433,agradec sempr sup expect,agradeço suporte vamos encerrar conversa,estou extremamente insatisfeito,estou com um probl complic e nao sei por onde comec voc pod me orient,qual e o seu nome
434,obrigado por sua prontidao em resolver problemas,agradec pel suport vam encerr a convers,extremamente insatisfeito,probl complic nao sei onde comec voc pod orient,nome
435,obrigado prontidao resolver problemas,agradec suport vam encerr convers,estou extrem insatisfeit,por favor me ajude,qual e o seu nom
436,obrig por sua prontida em resolv problem,agradec pel suport vam encerr convers,extrem insatisfeit,favor ajude,nom
437,obrig prontida resolv problem,obrigado pela ajuda encerrando a conversa,isso nao pode ser ignorado,por favor me ajud,como voce esta
438,obrig por sua pront em resolv probl,obrigado ajuda encerrando conversa,nao pode ignorado,favor ajud,voce
439,obrig pront resolv probl,obrigado pelas orientaçoes encerrando aqui,isso nao pod ser ignor,alguem sabe como resolver isso,com voc esta
440,agradeço por sua atençao aos detalhes,obrigado orientaçoes encerrando aqui,nao pod ignor,alguem sabe resolver,voc
441,agradeço atençao detalhes,obrig pel orientaço encerr aqu,uma situaçao lamentavel,algu sab com resolv isso,bom dia tudo bem com voce
442,agradec por sua atença aos detalh,obrig orientaço encerr aqu,situaçao lamentavel,algu sab resolv,bom dia tudo bem voce
443,agradec atença detalh,obrig pel orientac encerr aqu,uma situaça lamentavel,pode me orientar,bom dia tud bem com voc
444,agradec por sua atenc aos detalh,obrig orientac encerr aqu,situaça lamentavel,pode orientar,bom dia tud bem voc
445,agradec atenc detalh,devo ir agora muito obrigado,uma situac lamentavel,pod me orient,hi
446,obrigado por sua ajuda valiosa,devo ir agora obrigado,situac lamentavel,pod orient,oi como vai voce
447,obrigado ajuda valiosa,dev ir agor muit obrig,nao sei como lidar com essa incompetencia,necessito de suporte,oi vai voce
448,obrig por sua ajud valios,dev ir agor obrig,nao sei lidar incompetencia,necessito suporte,oi com vai voc
449,obrig ajud valios,obrigado pelo suporte podemos encerrar a conversa,nao sei com lid com essa incompetenc,necessit de suport,oi vai voc
450,obrig por sua ajud vali,obrigado suporte podemos encerrar conversa,nao sei lid incompetenc,necessit suport,ola como voce esta
451,obrig ajud vali,obrig pel suport pod encerr a convers,me sinto lesado e frustrado,alguem tem uma soluçao,ola voce
452,obrig por sua ajud val,obrig suport pod encerr convers,sinto lesado frustrado,alguem soluçao,ola com voc esta
453,obrig ajud val,obrig pel suport pod encerr convers,me sint les e frustr,algu tem uma soluça,ola voc
454,agradeço por ser um recurso confiavel,encerrar atendimento obrigado pela paciencia,sint les frustr,algu soluça,opa
455,agradeço recurso confiavel,encerrar atendimento obrigado paciencia,me sint le e frustr,algu tem uma soluc,ola prazer em conhece lo
456,agradec por ser um recurs confiavel,encerr atend obrig pel pacienc,sint le frustr,algu soluc,ola prazer conhece lo
457,agradec recurs confiavel,encerr atend obrig pacienc,estou muito chateado com essa situaçao,me sinto perdido,ola praz em conhec lo
458,obrigado por sua disponibilidade e flexibilidade,por enquanto e so encerrando,chateado situaçao,sinto perdido,ola praz conhec lo
459,obrigado disponibilidade flexibilidade,enquanto so encerrando,estou muit chat com essa situaça,me sint perd,alo
460,obrig por sua disponibil e flexibil,por enquant e so encerr,chat situaça,sint perd,oi como vai
461,obrig disponibil flexibil,enquant so encerr,muit chat situaça,estou com dificuldades tecnicas,oi vai
462,agradeço por sua orientaçao e suporte,nos falamos depois,estou muit chat com essa situac,dificuldades tecnicas,oi com vai
463,agradeço orientaçao suporte,falamos,muit chat situac,estou com dificuldad tecnic,eai
464,agradec por sua orientaça e suport,no falamos depois,chat situac,dificuldad tecnic,ola como esta
465,agradec orientaça suport,nos fal depo,nao acredito no que estou vendo,nao entendo o que esta acontecendo,ola com esta
466,agradec por sua orientac e suport,no fal depo,nao acredito vendo,nao entendo acontecendo,tudo bem com voce
467,agradec orientac suport,fal,nao acredit no que estou vend,nao entend o que esta acontec,tudo bem voce
468,obrigado por tornar as coisas mais simples para mim,fal depo,nao acredit vend,nao entend acontec,tud bem com voc
469,obrigado tornar coisas simples mim,nos fal dep,uma total falta de respeito,gostaria de contar com a ajuda de voces,tud bem voc
470,obrigado por tornar a coisas mais simple para mim,no fal dep,uma total falt de respeit,gostaria contar ajuda voces,oi como posso ajuda lo
471,obrig por torn as cois mais simpl par mim,fal dep,nao quero mais ter qualquer envolvimento com isso,gostaria de contar com a ajuda de vox,oi posso ajuda lo
472,obrigado tornar coisas simple mim,foi bom conversar com voce,nao quero ter qualquer envolvimento,gost de cont com a ajud de voc,oi com poss ajud lo
473,obrig por torn a cois mais simpl par mim,bom conversar voce,nao quer mais ter qualqu envolv com isso,gostaria contar ajuda vox,oi poss ajud lo
474,obrig torn cois simpl mim,foi bom convers com voc,nao quer ter qualqu envolv,gost de cont com a ajud de vox,oi com po ajud lo
475,obrig torn cois simpl par mim,bom convers voc,uma total falta de consideraçao,gost cont ajud voc,oi po ajud lo
476,agradeço por ser um verdadeiro profissional,foi bom conversar,total falta consideraçao,gost cont ajud vox,tudo certo
477,agradeço verdadeiro profissional,bom conversar,uma total falt de consideraça,preciso de uma luz,tud cert
478,agradec por ser um verdadeir profissional,foi bom convers,total falt consideraça,preciso luz,ola como vai
479,agradec verdadeir profissional,bom convers,uma total falt de considerac,precis de uma luz,ola vai
480,agradec por ser um verdad profissional,ate breve,total falt considerac,precis luz,ola com vai
481,agradec verdad profissional,ate brev,que desrespeito,prec de uma luz,prazer em conhece lo
482,obrigado por sua atençao dedicada,hora de partir adeus,desrespeito,prec luz,prazer conhece lo
483,obrig por sua atença dedic,hora partir adeus,que desrespeit,alguem mais experiente pode me ajudar,praz em conhec lo
484,obrig por sua atenc dedic,hor de part adeus,desrespeit,alguem experiente pode ajudar,praz conhec lo
485,agradeço por sua contribuiçao significativa,hor part adeus,nunca vi algo tao mal feito,algu mais experient pod me ajud,e ai beleza
486,agradeço contribuiçao significativa,parando,nunc vi algo tao mal feit,algu experient pod ajud,ai beleza
487,agradec por sua contribuiça signific,par,nao da para acreditar nisso,pode me dar um conselho,e ai belez
488,agradec contribuiça signific,ja tirei todas as minhas duvidas obrigado,nao acreditar nisso,pode dar conselho,ai belez
489,agradec por sua contribuic signific,ja tirei todas duvidas obrigado,nao da par acredit niss,pod me dar um conselh,oi como voce esta
490,agradec contribuic signific,ja tirei toda a minhas duvidas obrigado,nao acredit niss,pod dar conselh,oi voce
491,obrigado por seu tempo e esforço,ja tir tod as minh duv obrig,nao par acredit niss,estou com duvidas,oi com voc esta
492,obrigado tempo esforço,ja tirei toda duvidas obrigado,nao da par acredit ni,duvidas,oi voc
493,obrig por seu temp e esforc,ja tir tod a minh duv obrig,nao par acredit ni,estou com duv,bem vindo
494,obrig temp esforc,ja tir tod duv obrig,nao acredit ni,solicito assistencia,bem vind
495,agradeço por sua amabilidade,ja tir tod minh duv obrig,essa e a ultima vez que passo por isso,solicit assistenc,ola novamente
496,agradeço amabilidade,acho que ja esta resolvido vou encerrar a conversa,ultima vez passo,nao consigo resolver sozinho,ola nov
497,agradec por sua amabil,acho ja resolvido vou encerrar conversa,essa e a ultim vez que pass por isso,nao consig resolv sozinh,bom dia como posso ajuda lo com a sua questao industrial
498,agradec amabil,acho que ja esta resolv vou encerr a convers,ultim vez pass,pode me indicar uma soluçao,bom dia posso ajuda lo questao industrial
499,obrigado por sempre oferecer soluçoes criativas,acho ja resolv vou encerr convers,essa e a ultim vez que pas por isso,pode indicar soluçao,bom dia com poss ajud lo com a sua questa industrial
500,obrigado sempre oferecer soluçoes criativas,fechando,ultim vez pas,pod me indic uma soluça,bom dia poss ajud lo questa industrial
501,obrig por sempr oferec soluço criativ,fech,essa e a ultim vez que pa por isso,pod indic soluça,bom dia com po ajud lo com a sua questa industrial
502,obrig sempr oferec soluço criativ,finalizando,ultim vez pa,pod me indic uma soluc,bom dia com poss ajud lo com a sua quest industrial
503,obrig por sempr oferec soluc criativ,finaliz,nao sou tratado com seriedade,pod indic soluc,bom dia po ajud lo questa industrial
504,obrig sempr oferec soluc criativ,finalizando a conversa,nao tratado seriedade,gostaria de obter suporte,bom dia com po ajud lo com a sua quest industrial
505,agradeço por sua resposta rapida,finalizando conversa,nao sou trat com seriedad,gostaria obter suporte,bom dia poss ajud lo quest industrial
506,agradeço resposta rapida,finaliz a convers,nao trat seriedad,gost de obter suport,bom dia po ajud lo quest industrial
507,agradec por sua respost rap,finaliz convers,uma completa falta de profissionalismo,gost obter suport,boa tarde como esta o seu dia
508,agradec respost rap,encerrando por aqui,completa falta profissionalismo,alguem tem alguma ideia,boa tarde dia
509,obrigado por ser um membro valioso da equipe,encerrando aqui,uma complet falt de profissional,alguem alguma ideia,boa tard com esta o seu dia
510,obrigado membro valioso equipe,encerr por aqu,complet falt profissional,algu tem algum ide,boa tard dia
511,obrig por ser um membr valios da equip,encerr aqu,nao ha justificativa para isso,algu algum ide,oi voce e um chatbot
512,obrig membr valios equip,encerrado,nao ha justificativa,como posso resolver isso,oi voce chatbot
513,obrig por ser um membr vali da equip,encerr,nao ha justific par isso,posso resolver,oi voc e um chatbot
514,obrig membr vali equip,vou sair agora,nao ha justific,com poss resolv isso,oi voc chatbot
515,obrig por ser um membr val da equip,vou sair agor,nao ha justific par,poss resolv,oi tudo bom como posso ajuda lo
516,obrig membr val equip,obrigado encerrando,estou profundamente decepcionado,com po resolv isso,oi tudo bom posso ajuda lo
517,agradeço por sua atitude positiva,obrig encerr,profundamente decepcionado,po resolv,oi tud bom com poss ajud lo
518,agradeço atitude positiva,ate mais,estou profund decepcion,alguem pode me dar um direcionamento,oi tud bom poss ajud lo
519,agradec por sua atitud posit,ate,profund decepcion,alguem pode dar direcionamento,oi tud bom com po ajud lo
520,agradec atitud posit,vamos encerrar por aqui,nao fizeram o minimo necessario,algu pod me dar um direcion,oi tud bom po ajud lo
521,obrigado por suas habilidades excepcionais,vamos encerrar aqui,nao fizeram minimo necessario,algu pod dar direcion,oi sabe me dizer o que pode estar acontecendo com minha maquina
522,obrigado habilidades excepcionais,vam encerr por aqu,nao fiz o minim necessari,preciso de ajuda urgente,oi sabe dizer pode acontecendo maquina
523,obrig por suas habil excepcion,vam encerr aqu,nao fiz minim necessari,preciso ajuda urgente,oi sab me diz o que pod estar acontec com minh maquin
524,obrig habil excepcion,encerrando a sessao,nao fiz o minim necessar,precis de ajud urgent,oi sab diz pod acontec maquin
525,agradeço por sua experiencia e conhecimento,encerrando sessao,nao fiz minim necessar,precis ajud urgent,oi sab diz pod acontec minh maquin
526,agradeço experiencia conhecimento,encerr a sessa,nao fiz o minim necess,prec de ajud urgent,ola preciso de ajuda para solucionar um problema em um motor
527,agradec por sua experienc e conhec,encerr sessa,nao fiz minim necess,prec ajud urgent,ola preciso ajuda solucionar problema motor
528,agradec experienc conhec,encerr a sess,nao posso aceitar esse tipo de serviço,pode me explicar como fazer,ola precis de ajud par solucion um problem em um motor
529,obrigado por sua generosidade,encerr sess,nao posso aceitar tipo serviço,pode explicar fazer,ola precis ajud solucion problem motor
530,obrig por sua generos,acho que ja podemos encerrar,nao poss aceit esse tip de servic,pod me explic com faz,ola precis ajud par solucion problem motor
531,obrig por sua gener,acho ja podemos encerrar,nao poss aceit tip servic,pod explic faz,ola prec de ajud par solucion um probl em um motor
532,obrig por sua gen,acho que ja pod encerr,nao po aceit esse tip de servic,alguem tem experiencia nesse assunto,ola prec ajud par solucion probl motor
533,agradeço por compartilhar seu tempo e talento,acho ja pod encerr,nao po aceit tip servic,alguem experiencia nesse assunto,ola prec ajud solucion probl motor
534,agradeço compartilhar tempo talento,fico feliz em ter aprendido mais sobre isso ate mais,que desperdicio de tempo e dinheiro,algu tem experienc ness assunt,ola voce pode me ajudar
535,agradec por compartilh seu temp e talent,fico feliz ter aprendido sobre ate,desperdicio tempo dinheiro,algu experienc ness assunt,ola voce pode ajudar
536,agradec compartilh temp talent,fic feliz em ter aprend mais sobr isso ate mais,que desperdici de temp e dinheir,pode me auxiliar,ola voc pod me ajud
537,obrigado por sua ajuda inestimavel,fic feliz ter aprend sobr ate,desperdici temp dinheir,pode auxiliar,ola voc pod ajud
538,obrigado ajuda inestimavel,ate logo,que desperdic de temp e dinh,pod me auxili,ola em que posso ajudar nesse momento
539,obrig por sua ajud inestimavel,ate log,desperdic temp dinh,pod auxili,ola posso ajudar nesse momento
540,obrig ajud inestimavel,a conversa foi util vou desligar agora,uma verdadeira falta de compromisso,pod me auxil,ola em que poss ajud ness moment
541,agradeço por ser um colega de trabalho exemplar,conversa util vou desligar agora,verdadeira falta compromisso,pod auxil,ola poss ajud ness moment
542,agradeço colega trabalho exemplar,a convers foi util vou deslig agor,uma verdadeir falt de compromiss,nao sei qual e a soluçao,ola em que po ajud ness moment
543,agradec por ser um coleg de trabalh exempl,convers util vou deslig agor,verdadeir falt compromiss,nao sei soluçao,ola po ajud ness moment
544,agradec coleg trabalh exempl,bye,uma verdad falt de compromiss,nao sei qual e a soluça,boas vindas
545,obrigado por sua dedicaçao incansavel,despedindo,verdad falt compromiss,nao sei soluça,boa vindas
546,obrigado dedicaçao incansavel,desped,nao mereço ser tratado dessa forma,nao sei qual e a soluc,boas vind
547,obrig por sua dedicaça incansavel,obrigado pela ajuda,nao mereço tratado dessa forma,nao sei soluc,boa vind
548,obrig dedicaça incansavel,obrig pel ajud,nao merec ser trat dess form,alguem pode me guiar,oi gostaria de uma ajuda
549,obrig por sua dedicac incansavel,obrigado pela conversa,nao merec trat dess form,alguem pode guiar,oi gostaria ajuda
550,obrig dedicac incansavel,obrigado conversa,nao merec ser trat des form,algu pod me gui,oi gost de uma ajud
551,agradeço por sua atençao aos prazos,obrig pel convers,nao merec trat des form,algu pod gui,oi gost ajud
552,agradeço atençao prazos,obrig convers,nao merec ser trat de form,estou com um problema complicado,oi como posso ser util
553,agradec por sua atença aos praz,vou encerrar a conversa por aqui,nao merec trat form,problema complicado,oi posso util
554,agradec atença praz,vou encerrar conversa aqui,nao merec trat de form,estou com um problem complic,oi com poss ser util
555,agradec por sua atenc aos praz,vou encerr a convers por aqu,total falta de cuidado com o cliente,problem complic,oi poss util
556,agradec atenc praz,vou encerr convers aqu,total falta cuidado cliente,estou com um probl complic,oi com po ser util
557,obrigado por sua paciencia e compreensao,encerrando,total falt de cuid com o client,probl complic,oi po util
558,obrigado paciencia compreensao,vou me despedir por aqui,total falt cuid client,solicito a ajuda da equipe,oi estou a disposiçao para te ajudar
559,obrig por sua pacienc e compreensa,vou despedir aqui,nao recomendo de forma alguma,solicito ajuda equipe,oi disposiçao ajudar
560,obrig pacienc compreensa,vou me desped por aqu,nao recomendo forma alguma,solicit a ajud da equip,oi estou a disposiça par te ajud
561,obrig por sua pacienc e compreens,vou desped aqu,nao recom de form algum,solicit ajud equip,oi disposiça ajud
562,obrig pacienc compreens,encerrando a conversa agora,nao recom form algum,preciso de orientaçoes,oi disposiça par ajud
563,agradeço por sua postura profissional,encerr a convers agor,estou indignado com essa situaçao,preciso orientaçoes,oi estou a disposic par te ajud
564,agradeço postura profissional,gostei de falar com voce encerrando,indignado situaçao,precis de orientaço,oi disposic par ajud
565,agradec por sua postur profissional,gostei falar voce encerrando,estou indign com essa situaça,precis orientaço,oi disposic ajud
566,agradec postur profissional,gost de fal com voc encerr,indign situaça,alguem ja passou por isso,oi como posso ajudar nesse momento
567,obrigado por ser um exemplo inspirador,gost fal voc encerr,estou indign com essa situac,alguem ja passou,oi posso ajudar nesse momento
568,obrigado exemplo inspirador,vamos falar depois,indign situac,algu ja pass por isso,oi com poss ajud ness moment
569,obrig por ser um exempl inspir,vamos falar,isso ultrapassa todos os limites,algu ja pass,oi poss ajud ness moment
570,obrig exempl inspir,vam fal depo,ultrapassa todos limites,algu ja pas por isso,oi com po ajud ness moment
571,agradeço por sua eficiencia e eficacia,vam fal,isso ultrapassa todos o limites,algu ja pas,oi po ajud ness moment
572,agradeço eficiencia eficacia,vam fal dep,isso ultrapass tod os limit,algu ja pa por isso,ola precise de ajuda com problemas eletricos ou mecanicos
573,agradec por sua eficienc e eficac,encerra,isso ultrapass tod o limit,algu ja pa,ola precise ajuda problemas eletricos mecanicos
574,agradec eficienc eficac,acho que ja conversamos bastante vamos encerrar,ultrapass tod limit,pode me dar um conselho valioso,ola precis de ajud com problem eletr ou mecan
575,obrigado por sua contribuiçao excepcional,acho ja conversamos bastante vamos encerrar,nao ha palavras para descrever o quao insatisfeito estou,pode dar conselho valioso,ola precis ajud problem eletr mecan
576,obrigado contribuiçao excepcional,acho que ja convers bastant vam encerr,nao ha palavras descrever quao insatisfeito,pod me dar um conselh valios,ola prec de ajud com probl eletr ou mecan
577,obrig por sua contribuiça excepcional,acho ja convers bastant vam encerr,nao ha palavr par descrev o qua insatisfeit estou,pod dar conselh valios,ola prec ajud probl eletr mecan
578,obrig contribuiça excepcional,saindo,nao ha palavr descrev qua insatisfeit,pod me dar um conselh vali,ola eu nao sei se voces podem me ajudar mas preciso de ajuda
579,obrig por sua contribuic excepcional,saind,nao ha palavr par descrev qua insatisfeit,pod dar conselh vali,ola nao sei voces podem ajudar preciso ajuda
580,obrig contribuic excepcional,foi otimo falar com voce,nao sou ouvido nem levado a serio,pod me dar um conselh val,ola eu nao sei se vox podem me ajudar ma preciso de ajuda
581,agradeço pela sua atençao,otimo falar voce,nao ouvido levado serio,pod dar conselh val,ola eu nao sei se voc pod me ajud mas precis de ajud
582,agradec pel sua atença,foi otim fal com voc,nao sou ouv nem lev a seri,estou em apuros,ola nao sei vox podem ajudar ma preciso ajuda
583,agradec pel atença,otim fal voc,nao ouv lev seri,apuros,ola eu nao sei se vox pod me ajud ma precis de ajud
584,agradec pel sua atenc,ate mais tarde,nao sou ouv nem lev a ser,estou em apur,ola nao sei vox podem ajudar preciso ajuda
585,agradec pel atenc,ate tarde,nao ouv lev ser,apur,ola nao sei voc pod ajud precis ajud
586,obrigado pela sua ajuda voce foi muito util,ate mais tard,nao ouv lev,como posso resolver esse obstaculo,ola nao sei vox pod ajud precis ajud
587,obrig pel sua ajud voc foi muit util,ate tard,uma verdadeira bagunça organizacional,posso resolver obstaculo,ola nao sei vox pod ajud ma precis ajud
588,obrig pel ajud voc muit util,tenha um otimo dia,verdadeira bagunça organizacional,com poss resolv esse obstacul,ola eu nao sei se voc pod me ajud ma precis de ajud
589,muito obrigado pela sua ajuda voce foi incrivel,tenha otimo dia,uma verdadeir bagunc organizacional,poss resolv obstacul,ola eu nao sei se voc pod me ajud mas prec de ajud
590,obrigado ajuda voce incrivel,tenh um otim dia,verdadeir bagunc organizacional,com po resolv esse obstacul,ola nao sei voc pod ajud ma precis ajud
591,muit obrig pel sua ajud voc foi incrivel,tenh otim dia,uma verdad bagunc organizacional,po resolv obstacul,ola eu nao sei se voc pod me ajud ma prec de ajud
592,obrig ajud voc incrivel,ate mais cedo,verdad bagunc organizacional,alguem sabe a resposta,ola nao sei voc pod ajud prec ajud
593,muit obrig pel ajud voc incrivel,ate cedo,que falta de respeito com o consumidor,alguem sabe resposta,ola eu nao sei se vox pod me ajud ma prec de ajud
594,muito obrigado pela sua paciencia,ate mais ced,falta respeito consumidor,algu sab a respost,ola nao sei vox pod ajud ma prec ajud
595,muit obrig pel sua pacienc,ate ced,que falt de respeit com o consumidor,algu sab respost,ola nao sei vox pod ajud prec ajud
596,muit obrig pel pacienc,ate amanha,falt respeit consumidor,estou com dificuldades para resolver isso,ola nao sei voc pod ajud ma prec ajud
597,agradeço demais a sua dedicaçao,ate amanh,nao fui valorizado como cliente,estou com dificuldad par resolv isso,oi estou aqui para lhe ajudar com soluçoes industriais
598,agradeço demais dedicaçao,nos vemos em breve,nao valorizado cliente,pode me ajudar a encontrar uma soluçao,oi aqui ajudar soluçoes industriais
599,agradec dem a sua dedicaça,vemos breve,nao fui valoriz com client,pode ajudar encontrar soluçao,oi estou aqu par lhe ajud com soluço industri
600,agradec dem dedicaça,no vemos em breve,nao valoriz client,pod me ajud a encontr uma soluça,oi aqu ajud soluço industri
601,agradec dem a sua dedicac,nos vem em brev,estou cansado de tanta incompetencia,pod ajud encontr soluça,oi aqu par ajud soluço industri
602,agradec dem dedicac,no vem em brev,cansado tanta incompetencia,pod me ajud a encontr uma soluc,oi estou aqu par lhe ajud com soluc industr
603,muito obrigado por resolver meu problema,vem brev,estou cans de tant incompetenc,pod ajud encontr soluc,oi aqu par ajud soluc industr
604,muit obrig por resolv meu problem,fique bem,cans tant incompetenc,estou com um problema,oi aqu ajud soluc industr
605,muit obrig resolv problem,fiqu bem,estou can de tant incompetenc,estou com um problem,ola tudo tranquilo
